Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2016 Mazda 5,2016,Mazda,5,8200000,,manual,84000,Viña del Mar,"MAZDA 5 2.0 BENCINERA Full -6 airbags, Aire acondicionado , -6 velocidades Manual, -alza vidrio en todos. -Espejos eléctricos, - Sunroof -tres corridas (7 asientos), se pueden abatir las dos corridas traseras para espacio extra en la maletera. -Detalles en la pintura de la carrocería. (hace conversable el precio) -Excelente estado mecánico Se vende por renovación. INTERSADOS ENVIAR MENSAJES POR WHATSAPP , no puedo contestar siempre las llamadas.",['conversable'],https://web.facebook.com/marketplace/item/1060977185202181/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 3,2014,Mazda,3,8800000,,manual,90000,Santiago,Mazda 3 1.6 año 2014 Perfecta condiciones Falta la mantencion de los 90000 Detalles estéticos Solo 1 copia de llaves Poco uso Sin multas ni partes Conversable [hidden information],"['conversable', 'detalles menores']",https://web.facebook.com/marketplace/item/1466863307541914/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Mazda 2,2010,Mazda,2,4900000,,manual,270000,San Fernando,"Se vende por renovación.
Más detalles por interno.
1.5
A/c",[],https://web.facebook.com/marketplace/item/773842294658215/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda new mazda 3,2018,Mazda,new,9000000,,manual,113000,San Bernardo,"New Mazda 3 año 2018 de 1.6 Vehículo con todas las mantenciones al día realizadas hace 2 semanas: • Cambio de Correa de Distribución más Tensor. • Cambio de Aceite y Filtro de Aceite • Cambio Filtro Aire • Cambio Filtro Polen • Cambio Aceite Caja Cambio • Cambio Liquido Freno • Cambio Bujías. • Se cambiaron los 4 neumáticos hace 6 meses. Estado del Vehículo muy bueno, único dueño. Jamás ha tenido un choque de estructura. Papeles Al día incluyendo permiso de circulación hasta el 2025. Sin Deuda de ningún tipo, nada de partes, sin deuda tag. Comentario Personal: Vehículo jamás a dado una pana (vehículo bien cuidado). Kilometraje 113.000 Características del Vehículo: • Contiene corta corriente y gps. • Alarma Propia del Vehículo con sensor de movimiento. • Activación y apagado del sensor por medio del control remoto. • Apertura maleta desde control remoto. • Encendido con Botón • Marcación y/o llamado por voz propia de Mazda. • Aire Acondicionado. • Bluetooth. • Asientos abatibles. • Airbag conductor y copiloto. • Sensor de cinturón de seguridad conductor y copiloto. • Cierre Centralizado. • Apertura ventana de conductor de un solo toque. • Control interno de los espejos laterales. • Tocador de CD original de Mazda. • Etc.","['al dia', 'choque', 'partes']",https://web.facebook.com/marketplace/item/369299622618142/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda 3,2013,Mazda,3,6900000,,manual,145000,Providencia,Alza vidrios eléctricos Pantalla bluetooth Mica anti golpes con polarizado dentro de la norma. Kit de embrague cambiado hace 10mil km Luces led Suspensión nueva Bandejas delanteras nuevas Todos sus papeles al día Motor 1.6 Velocidad crucero,['al dia'],https://web.facebook.com/marketplace/item/1900979743655364/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Mazda 2 1.5 gt gps 6mt 5p,2017,Mazda,2,8490000,,manual,107000,Viña del Mar,Precio publicado incluye bono de $500.000 por compras con financiamiento. Pie máximo 40% y plazo mínimo de 36 cuotas. Valor pago contado $8.990.000. Bonos y condiciones sujetas cambios sin previo aviso.,[],https://web.facebook.com/marketplace/item/1531777444046360/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Mazda artis glx 1.6 aut,1999,Mazda,artis,2000000,,manual,2004,Limache,"Andando a la llave.
Transferible
Más detalles al dm.",[],https://web.facebook.com/marketplace/item/2692017227628113/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 3,2012,Mazda,3,6000000,,manual,150000,Melipilla,"Se vendé mazda 3 excelente estado, toda su documentación al día hasta el 2025, llegar y transferir. Mantenimiento realizado en enero. Aire acondicionado. Radio con pantalla. Alza vidrios eléctricos Espejos eléctricos Sensor de lluvia Cierre centralizado ETC. Neumáticos cambiados el año pasado. Se vende solo porque se agrando la familia y se necesita otro vehículo . Contacto al [hidden information]",['al dia'],https://web.facebook.com/marketplace/item/1325668828836287/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
"2019 Mazda 2 sedan, 1.5 mt",2019,Mazda,2,8490000,,manual,59000,Santiago,"PRECIO CRÉDITO: $8.490.000 PRECIO CONTADO: $8.990.000 TENEMOS OPCIONES DE FINANCIAMIENTO, DESDE EL 20% DE PIE ACEPTAMOS EFECTIVO, TRANSFERENCIA, CHEQUES Y AUTOS COMO MEDIO DE PAGO. SOMOS CAR OUTLET, CONTAMOS CON MÁS DE 150 VEHÍCULOS EN STOCK. MARIAN AMAYA EJECUTIVA DE VENTAS [hidden information]",[],https://web.facebook.com/marketplace/item/447211307817068/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Mazda 3,2017,Mazda,3,9580000,,manual,105000,Concón,"Vendo mazda 3 muy buen estado, papeles al día hasta 2025 ! Detallitos mínimos, nada de choques. Es el modelo 1.6 llegar y disfrutar. Como extras, tiene llantas 17 y neumaticos con 80% de vida útil, sensor de retroceso,luces led, polarizado y grabado de patentes en sus vidrios, parabrisas y espejos. Puede ser algo conversable en el momento. [hidden information]","['conversable', 'al dia', 'choques']",https://web.facebook.com/marketplace/item/707769554764505/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
