Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2020 Hyundai creta,2020,Hyundai,creta,9750000,,automatic,49000,San Bernardo,"Vehículo full equipo, documentación al día sin multas transferible procedente de remate andando impecable valor algo conversable","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/253119714543471/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Hyundai santa fe gls 4wd,2013,Hyundai,santa fe gls 4wd,9500000,,automatic,176000,Providencia,"2013 Hyundai Santa Fe GLS AUTOMÁTICO BENCINERO EXCELENTE ESTADO, DOCUMENTOS AL DÍA - Techo Panorámico - Sistema Android integrada - Versión Full con comando al volante tracción AWD y bloqueo diferencial - 3 corridas de asientos - cortinas *VER POR PROVIDENCIA",['al dia'],https://web.facebook.com/marketplace/item/7551260104897186/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Hyundai veracruz,2010,Hyundai,veracruz,8500000,,automatic,1000,San Antonio,"Es la version mas full con asientos cuero velocidad crucero, calienta asientos, sunroof, climatizador dual , sistema infinity de sonido de fabrica Asientos electricos, etc Valor conversable",['conversable'],https://web.facebook.com/marketplace/item/1848270502287872/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai veracruz,2012,Hyundai,veracruz,9590000,,automatic,144000,Huechuraba,Hyundai veracruz 2012 3 corridas de asiento Automatica Alza vidrios electricos Aire acondicionado Se aceptan vehículos en parte de pago Solo contado,['parte'],https://web.facebook.com/marketplace/item/334842276239736/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai sonata,2012,Hyundai,sonata,8000000,,automatic,123000,San Bernardo,"Se vende vehículo Hyundai sonata 2012 2.0 AT -Radio pantalla touch. -Sunroof panorámico. -Tapiz de cuero en perfecto estado. -Espejos abatibles eléctricos. -Caja automática con modo sport manual. -2 llaves. -Todas sus mantenciónes al día con productos de alta calidad (ravenol). -Vehículo al día y transferible, sin partes ni multas. Vehículo con interior y exterior en perfectas condiciones único en su estado, valor conversable. Puede venir a visitarnos con su mecánico sin ningún compromiso.","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/955732749892092/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai elantra,2012,Hyundai,elantra,6200000,,automatic,130000,Santiago,"Todos sus papeles al día ❗❗Leer descripción❗❗ ❗❗❗Precio conversable❗❗❗ ➕5️⃣6️⃣9️⃣4️⃣9️⃣5️⃣6️⃣3️⃣6️⃣6️⃣7️⃣ Llamar o por WhatsApp sin problemas Elantra GLS 1.6 AT Full 130.000 KM Neumáticos nuevos Enero 2024 Air bag piloto inactivo por pequeño topon a animal,NO es de remate ni aseguradora ,comprobable con autofact Impecable Funcionando todo al 100% Precio se puede conversar 💯❗❗❗Consulte sin problemas ❗❗❗","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/1450987488830706/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000 Hyundai galloper2,2000,Hyundai,galloper2,8000000,,automatic,209000,Maipú,Vendo Hyundai galloper2. 4x4 3.0cc.automatica Impeque documentación al día sin parte ni choque ful equipo GPS corta corriente bastante seguridad.tal cuál se ve en las fotos.OFerta parto con 8.millones,"['al dia', 'choque', 'parte']",https://web.facebook.com/marketplace/item/293647610239859/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai azera,2012,Hyundai,azera,4000000,,automatic,160000,Treguaco,Permuta,[],https://web.facebook.com/marketplace/item/684028173735309/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Hyundai sonata,2010,Hyundai,sonata,7100000,,automatic,173000,Puente Alto,"Se vende Hyundai Sonata 2.0, transmisión automática, tope de linea con techo panorámico, vehículo se encuentra en inmejorable estado, cuenta con 173.xxx kilómetros reales, auto exquisito, espacioso y cómodo, con su revisión y permiso de circulación hasta 2025, todas sus mantenciones al dia y cambio de aceite recién realizado. No dude en consultar, se vende solo por renovación.",['al dia'],https://web.facebook.com/marketplace/item/1083256986224032/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Hyundai accent,2016,Hyundai,accent,7800000,,automatic,60000,Maipú,"Está en perfecto estado, mantenciones y papeles al día. Cuenta con aire acondicionado, radio pantalla, Bluetooth y cámara de retroceso. Caja automática. Motor 1.4 Solo venta.",['al dia'],https://web.facebook.com/marketplace/item/769334711796507/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
