Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
1990 Mazda 929 2.2 tracciÓn trasera,1990,Mazda,929 2.2 tracciÓn trasera,700000,,automatic,280000,Talcahuano,VENDO o PERMUTO MAZDA 929 2.2 TRACCIÓN TRASERA MOTOR IMPEQUE NUNCA CHOCADO PAPELES AL DÍA NO TRANSFERIBLE PERO CON CARTA DE PODER DETALLES: FALTA CAJA AUTOMÁTICA Y CARDAN NADA MAS,"['al dia', 'no transferible']",https://web.facebook.com/marketplace/item/441792171610229/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda cx5 r,2014,Mazda,cx5 r,9200000,,automatic,156000,Lo Barnechea,"Angelica Cordero 📞9*6709*9568 contacto@*mrcar.cl SUV en excelente estado, motor 2.0, transmisión automática, mandos de control al volante, conectividad bluetooth, tracción AWD, cliamtizador dual, tapicería en excelente estado, anclaje ISOFIX, smartkey con botón de encendido, sensores de proximidad, camara de retroceso, 2 llaves, incluye barras de equipaje.",[],https://web.facebook.com/marketplace/item/398914956078437/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Mazda 3,2006,Mazda,3,3600000,,automatic,250000,Los Ángeles,"Se vende mazda 3 año 2006
Buen estado",[],https://web.facebook.com/marketplace/item/1122908778757621/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Mazda 3,2006,Mazda,3,4500000,,automatic,111000,Concepción,"Mazda 3 
Año 2006
Motor 1.6
Automático bencinero
Detalles en carroceria
$4.500.000 conversable",['conversable'],https://web.facebook.com/marketplace/item/450431167428398/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda cx-5 gt line (financiable),2018,Mazda,cx-5 gt line (financiable),5500000,,automatic,63000,La Serena,"MAZDA CX5 2018 🇯🇵 VERSIÓN: GT LINE ☑️AÑO 2018 ☑️63.000 KM ☑️MOTOR 2.0 ☑️TRANSMISIÓN AUTOMÁTICA ☑️BENCINERO ☑️CÁMARA DE RETROCESO ☑️CLIMATIZADOR ☑️AIRE ACONDICIONADO ☑️APPLE CAR PLAY ☑️SUNROFF ☑️ASIENTOS DE CUERO ☑️ÚNICO DUEÑO 🔘PRECIO: 19.990.000 🔘PIE 30%: 6.000.000 🗣️CRÉDITO EXPRESS SIN ACREDITAR RENTA PIE DESDE EL 40% DEL VALOR DEL VEHÍCULO (8.000.000) CONDICIÓN: ESTAR BANCARIZADO EN ALGÚN BANCO 🆗 GESTIONAMOS FINANCIAMIENTOS -FALABELLA -TANNER -AUTOFACIL -SANTANDER -UNIDAD -FORUM 🆗RECIBIMOS AUTOS EN PARTE DE PAGO 🆗VEHICULO CON GARANTÍA MOTOR/TREN DELANTERO/ TREN TRASERO 🆗GESTIONAMOS SEGURO AUTOMOTRIZ DISPONIBLE PARA ➡️ASESORARTE EN TU PRÓXIMA COMPRA ➡️AYUDARTE A ENCONTRAR TU VEHÍCULO IDEAL Y LA TASA MÁS BARATA DEL MERCADO **MÜNCHEN AUTOMOTRIZ** 📍AV BALMACEDA 4601, LA SERENA📍",['parte'],https://web.facebook.com/marketplace/item/7750641805055820/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 5,2008,Mazda,5,6000000,,automatic,193000,Tomé,"Características Stacion wagon Mazda 5 año 2008 2.0 full. Aire acondicionado , soon Roof. Capacidad 7 personas funcionando a todo evento. Con cámara de retroceso valor 6.000.000 conversable",['conversable'],https://web.facebook.com/marketplace/item/785982686756430/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Mazda premacy,2007,Mazda,premacy,5200000,,automatic,1000,Victoria,No description,[],https://web.facebook.com/marketplace/item/422808857100043/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda 3,2013,Mazda,3,7990000,,automatic,80000,Maipú,"Vendo mi Mazda 3 Sport AT Documentos al día Mantenciones al día 2 dueños Tiene 80xxx km Neumáticos nuevos Dos controles pero siempre se ha usado uno Luces y limpia parabrisas automáticos Espejos abatibles eléctricamente Velocidad crucero Espejo retrovisor fotocromático Techo eléctrico Mandos al volante Radio bluetooth Freno de disco en las cuatro ruedas con suspensión independiente, lo hace muy cómodo y estable en curvas. Aire acondicionado. Versión full equipo. Respondo dudas",['al dia'],https://web.facebook.com/marketplace/item/896286418896813/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Mazda 626,1998,Mazda,626,1800000,,automatic,48270,Los Ángeles,Auto en muy buen estado papeles al día transferible full equipo detalles x el año nunca a sido chocado tal cual está en la foto rápido como el mismo más común mente llamado el Mercedez de los pobre. valor x interno se puede visitar todo los días se vende x no uso a toda prueba,"['al dia', 'chocado']",https://web.facebook.com/marketplace/item/384444554364189/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda cx-5,2014,Mazda,cx-5,5500000,,automatic,111000,Talcahuano,"Mazda en prenda, solo entendidos llamar 📞",[],https://web.facebook.com/marketplace/item/1845234406006234/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
