Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2019 Kia rio,2019,Kia,rio,8800000,,manual,59000,María Pinto,"Kia Rio 4 RIO 4 LX 1.4 Mecánica 2019 Kilometraje: 59.200 Combustible: Bencina Unico dueño mantenciones al día, permiso de circulación al dia. Sin partes ni multas. Caja 6ta hasta 23 km/ litro en carretera y 17 km/litro en ciudad. Camara y sensores de retroceso. Radio con pantalla y mando al volante. Neumaticos en excelentes condiciones.",['al dia'],https://web.facebook.com/marketplace/item/1146099430037285/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Kia sorento,2013,Kia,sorento,8500000,,manual,135000,Curacaví,Vendo kia sorento 2013 Llegar y andar sin problemas 8.500.000 conversable Cualquier duda o consulta [hidden information],['conversable'],https://web.facebook.com/marketplace/item/773609607723378/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia frontier,2017,Kia,frontier,8500000,,manual,170000,San Miguel,"Líquido por apuro solo llamados 
[hidden information]",[],https://web.facebook.com/marketplace/item/963546592022471/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia rio,2019,Kia,rio,7700000,,manual,74000,Cartagena,SE VENDE KIA RIO 4 Año 2019 Km 74.xxx UNICO DUEÑO!! Motor 1.4 mecánico caja 6ta. Primeras 3 mantenciones en la marca DOCUMENTACION AL DIA Desde el día uno utilizado con funda Pequeños detalles. transferible Telefono +5️⃣6️⃣9️⃣4️⃣9️⃣3️⃣4️⃣1️⃣1️⃣1️⃣3️⃣,['al dia'],https://web.facebook.com/marketplace/item/250293711486374/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Kia cerato,2016,Kia,cerato,6500000,,manual,205952,Santiago,"Vendo vehículo en perfectas condiciones, permiso de circulación pagado , no mantiene partes ni multas , totalmente transferible.. reales interesados dejar mensajes, se vende sólo por apuro médico.",['partes'],https://web.facebook.com/marketplace/item/412020701556218/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia rio,2017,Kia,rio,5980000,,manual,160000,San Miguel,Kia rio 4 2017 Motor 1.2 MT caja 5 velocidades Transmisión manual Aire acondicionado Radio con bluethoot Cierre centralizado Alza vidrios eléctricos Comandos al volante Dos copias de llaves Vehiculo sin deudas Ni partes tag Transferible de inmediato,[],https://web.facebook.com/marketplace/item/957143432751760/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Kia morning,2020,Kia,morning,7100000,,manual,54000,Puente Alto,"Vendo Kia Morning Full 1.2 año 2020, color Rojo Vivo. Segundo dueño. 54.500 km originales. Neumáticos nuevos. 2 llaves originales. Muy económico. Manual 5 velocidades. Con velocidad crucero. Limitador de velocidad. Comandos al volante. Cámara de retroceso. Sensor de retroceso . Pantalla táctil con Android y AppleCar . Anclajes isofix . Intermitentes espejos. Espejos eléctricos. Inmovilizador de motor . Alarma de apertura de puertas . Patente grabada en espejos y vidrios. Homologado hasta el 2025 . Realmente flamante el tapiz. Toda su documentación al día . Informe Autofac. Precio conversable con José Matamala, fono [hidden information].","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/268263066342276/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Kia frontier,2019,Kia,frontier,5500000,,manual,11000,Melipilla,"Kia frontier 2.5 año 2019
Solo llamadas no respondo mensajes
No transferible
9/5/3/0/8/9/9/7/6",['no transferible'],https://web.facebook.com/marketplace/item/983383900164632/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia cerato,2017,Kia,cerato,8600000,,manual,178000,San Antonio,"Se vende Kia Cerato 2017 especial pack Único dueño 178.000 kilómetros Motor 1.6 Caja sexta Llantas 17 con neumáticos de 4 meses de uso Discos cuatros ruedas Filtros aire, bencina, habitaculo cambiados Aceite Liqui Moly top tec 5w30 durante todos sus años Motor en perfecto estado , sin fugas de ningún tipo Bujías nuevas punta iridium Sun roof Mandos al volante Sensores estacionamiento delanteros y traseros 2 llaves originales Siempre estuvo cubierto bajo techo Contacto [hidden information]",[],https://web.facebook.com/marketplace/item/422936206871305/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Kia morning,2013,Kia,morning,3000000,,manual,180000,Santiago,"Vendo Kia morning 1.2 año 2013 semi full,cierre centralizado, alza vidrios en las cuatro puertas, alarma ,espejos eléctricos ,llantas,vidrios polarizados ,segunda dueña ,sin partes ni multas solo un año atrasado ,tiene detalles estéticos por eso el precio,favor no contactar revendedores solo reales interesados","['detalles menores', 'atrasado']",https://web.facebook.com/marketplace/item/357044453324775/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia morning,2017,Kia,morning,5600000,,manual,97000,Pudahuel,"Kia Morning Ex 1.2 año 2017 en excelente estado se vende por motivos de viaje. El vehículo tiene su documentación al día y sin multas. Posee aire acondicionado, cierre centralizado, alza vidrios eléctricos, dirección hidráulica, radio con Bluetooth, entre otros. Se vende, no se permuta. El precio es conversable y puede venir a ver a pudahuel sur.","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/350659697355896/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Kia morning,2021,Kia,morning,6100000,,manual,69000,Quilpué,"Kia Morning EX 1.0, año 2021, transmisión manual, bolsas de aire frontales, frenos ABS, control de estabilidad, sistema de infoentretenimiento con pantalla táctil, conectividad Bluetooth y USB, y elevalunas eléctricos. NO TIENE AIRE ACONDICIONADO. Interesados llamar al número: nueve nueve ocho ocho dos cinco uno cuatro siete.",[],https://web.facebook.com/marketplace/item/783418960393260/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Kia morning,2020,Kia,morning,7400000,,manual,34000,Macul,Kia morning año 2020 full 1.2 ac abs ✅ mantenciones al día ✅ segundo dueño ✅ papeles al día ✅ cierre centralizado ✅ aire acondicionado ✅ pantalla touch CarPlay y Android play ✅ cámara de retroceso Para mas fotos y videos al wsp [hidden information] o dm,['al dia'],https://web.facebook.com/marketplace/item/963154121861720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Kia rio,2012,Kia,rio,2800000,,manual,200000,Peumo,Auto en PRENDA se vende kia rio 4 o se permuta por auto .. lo compre asi y lo vendo asi Esta al dia .. no soi el dueño directo Motor 1.4 Año 2012 Full equipo (cargar aire acondicionado) Caja sexta Soi de pichidegua,['al dia'],https://web.facebook.com/marketplace/item/436916598838026/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Kia sorento,2006,Kia,sorento,2850000,,manual,280000,Cartagena,"Papeles al dia transferible full equipo diseel 4x4 , andando al 100 impecable solo DETALLES ESTETICOS se vende por renovacion","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/298989609704353/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Kia cerato,2008,Kia,cerato,1100000,,manual,150000,Villa Alemana,Kia cerato full equipo tranferible pero con multas de Tag    Permuto por camioneta,['multas'],https://web.facebook.com/marketplace/item/945105393635972/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Kia morning semi full 🔥,2015,Kia,morning semi full 🔥,4600000,,manual,16000,Villa Alemana,Se vende Kia morning semi full 1.2 1 airbag tiene batería nueva motor a toda prueba transferible tiene mínimos detalles de pintura por el año último precio 4.600.000 no A/C se puede venir a ver en villa alemana quilpue ✅🔥,['detalles menores'],https://web.facebook.com/marketplace/item/408469785246053/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Kia rio,2014,Kia,rio,5100000,,manual,97000,Pedro Aguirre Cerda,"Kia rio 5 año 2014 en buen estado mecánico Revisión técnica hasta enero 2025 / permiso de circulación hasta marzo 2025 solo detalles estéticos los que se ven en las imágenes. Tercer dueño, sin multas de ningún tipo 96.xxx km / motor 1.2 Precio conversable, se puede visitar en mi domicilio en la comuna de Pedro Aguirre cerda, rm","['conversable', 'detalles menores']",https://web.facebook.com/marketplace/item/774666054761097/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Kia sportage,2016,Kia,sportage,9550000,,manual,68000,Quilicura,Cualquier consulta escríbame📥,[],https://web.facebook.com/marketplace/item/3190422121102871/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Kia rio,2014,Kia,rio,5500000,,manual,120000,Quilpué,"Espectacular Kia Rio 3 Motor 1.4L 104HP Económico (20km/L carretera) Transmisión manual con 6 velocidades Doble Airbag Aire acondicionado Control crucero Alzavidrios automático Llantas aro 15' Espejos eléctricos y abatibles Alzavidrios automático Computador a bordo (muestra temperatura ambiental, rendimiento, tiempo de conducción) Cuenta con cadena de distribución 120.000km",[],https://web.facebook.com/marketplace/item/945824443825052/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Kia morning sport,2014,Kia,morning sport,3900000,,manual,0,Santiago,"vendo mi Kia Morning Versión Sport (top de línea) excelentes condiciones mecánicas, solo detalles estéticos -Tecnología ""Eco-Driving"" lo cual lo hace muy económico y reduce la emisión de dióxido de carbono -Aire acondicionado -Sunroof (techo panorámico) -Transmisión manual -Pantalla marca Pioneer touch -Sonido Woofer -Sistema corta corriente anti robo Detalles en carroceria como se aprecian en las imagenes, los alzavidrios eléctricos necesitan una mantencion pero si están funcionando, mecanicamente funcionando al 100% LA TOTALIDAD DE SU DOCUMENTACIÓN SE ENCUENTRA AL DÍA","['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/942594407332571/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Kia morning,2017,Kia,morning,4700000,,manual,80000,Santiago,De cía  de seguros  muy muy bueno full equipo atrazado un año  precio conversable,['conversable'],https://web.facebook.com/marketplace/item/346154567876449/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
